nsentry16_2016_02_24__05h00m00s

Time (Date hh:mm:ss.ms)	 L-Max dB -A 	 LEQ dB -A 	 L-Min dB -A 	
2016/02/24 09:28:00.000	80.245489	77.845448	73.745295	
2016/02/24 09:28:01.000	81.145499	78.745466	76.145401	
2016/02/24 09:28:02.000	76.345407	75.145364	73.945306	
2016/02/24 09:28:03.000	74.445332	73.945306	73.245264	
2016/02/24 09:28:04.000	74.745346	73.445277	71.345110	
2016/02/24 09:28:05.000	71.545130	71.045079	70.344998	
2016/02/24 09:28:06.000	72.445208	71.845158	71.045079	
2016/02/24 09:28:07.000	72.145184	70.945069	69.944945	
2016/02/24 09:28:08.000	70.044959	69.144824	68.844772	
2016/02/24 09:28:09.000	69.044807	68.444698	67.944595	
2016/02/24 09:28:10.000	68.844772	68.444698	68.044616	
2016/02/24 09:28:11.000	74.745346	72.745230	68.744754	
2016/02/24 09:28:12.000	77.545441	76.445411	74.745346	
2016/02/24 09:28:13.000	75.245368	71.445120	70.344998	
2016/02/24 09:28:14.000	74.945355	72.645223	70.545023	
2016/02/24 09:28:15.000	80.845496	79.545479	74.945355	
2016/02/24 09:28:16.000	78.845468	76.045398	75.045360	
2016/02/24 09:28:17.000	76.645417	74.745346	72.045175	
2016/02/24 09:28:18.000	72.045175	69.144824	67.244428	
2016/02/24 09:28:19.000	67.344454	66.444203	65.543893	
2016/02/24 09:28:20.000	65.844004	64.643513	63.943158	
2016/02/24 09:28:21.000	65.944039	64.943649	63.843102	
2016/02/24 09:28:22.000	66.144106	65.343816	64.543466	
2016/02/24 09:28:23.000	65.043692	64.543466	63.943158	
2016/02/24 09:28:24.000	64.143265	63.743045	63.242740	
2016/02/24 09:28:25.000	66.844321	65.944039	64.143265	
2016/02/24 09:28:26.000	72.545215	70.144972	66.844321	
2016/02/24 09:28:27.000	78.445460	76.745420	72.645223	
2016/02/24 09:28:28.000	78.145454	74.545337	71.545130	
2016/02/24 09:28:29.000	71.445120	69.144824	67.444479	
2016/02/24 09:28:30.000	67.344454	65.944039	65.343816	
2016/02/24 09:28:31.000	66.744292	65.944039	64.943649	
2016/02/24 09:28:32.000	66.844321	66.144106	65.543893	
2016/02/24 09:28:33.000	71.045079	68.944790	65.844004	
2016/02/24 09:28:34.000	73.845301	72.845237	71.045079	
2016/02/24 09:28:35.000	76.145401	75.045360	73.645289	
2016/02/24 09:28:36.000	79.245474	78.145454	76.045398	
2016/02/24 09:28:37.000	81.045498	79.745482	77.245433	
2016/02/24 09:28:38.000	77.045428	72.945244	71.845158	
2016/02/24 09:28:39.000	71.845158	71.045079	70.545023	
